,city,country,id,last_update,pollutant_avg,pollutant_id,pollutant_max,pollutant_min,pollutant_unit,state,station
155,Jorapokhar,India,156,17-03-2018 08:00:00,101,PM10,135,56,,Jharkhand,"Tata Stadium, Jorapokhar - JSPCB"
156,Jorapokhar,India,157,17-03-2018 08:00:00,11,NO2,13,8,,Jharkhand,"Tata Stadium, Jorapokhar - JSPCB"
157,Jorapokhar,India,158,17-03-2018 08:00:00,2,NH3,2,2,,Jharkhand,"Tata Stadium, Jorapokhar - JSPCB"
158,Jorapokhar,India,159,17-03-2018 08:00:00,106,SO2,130,61,,Jharkhand,"Tata Stadium, Jorapokhar - JSPCB"
159,Jorapokhar,India,160,17-03-2018 08:00:00,19,CO,39,1,,Jharkhand,"Tata Stadium, Jorapokhar - JSPCB"
160,Jorapokhar,India,161,17-03-2018 08:00:00,42,OZONE,53,17,,Jharkhand,"Tata Stadium, Jorapokhar - JSPCB"
161,Bengaluru,India,162,17-03-2018 08:00:00,40,PM2.5,62,17,,Karnataka,"BTM Layout, Bengaluru - CPCB"
162,Bengaluru,India,163,17-03-2018 08:00:00,52,NO2,101,27,,Karnataka,"BTM Layout, Bengaluru - CPCB"
163,Bengaluru,India,164,17-03-2018 08:00:00,5,SO2,8,3,,Karnataka,"BTM Layout, Bengaluru - CPCB"
164,Bengaluru,India,165,17-03-2018 08:00:00,37,CO,96,12,,Karnataka,"BTM Layout, Bengaluru - CPCB"
165,Bengaluru,India,166,17-03-2018 08:00:00,56,OZONE,79,4,,Karnataka,"BTM Layout, Bengaluru - CPCB"
166,Bengaluru,India,167,17-03-2018 08:00:00,40,PM2.5,72,17,,Karnataka,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
167,Bengaluru,India,168,17-03-2018 08:00:00,26,NO2,59,17,,Karnataka,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
168,Bengaluru,India,169,17-03-2018 08:00:00,2,SO2,4,1,,Karnataka,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
169,Bengaluru,India,170,17-03-2018 08:00:00,72,CO,95,53,,Karnataka,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
170,Bengaluru,India,171,17-03-2018 08:00:00,39,OZONE,69,2,,Karnataka,"BWSSB Kadabesanahalli, Bengaluru - CPCB"
171,Bengaluru,India,172,17-03-2018 08:00:00,NA,PM10,NA,NA,,Karnataka,"City Railway Station, Bengaluru - KSPCB"
172,Bengaluru,India,173,17-03-2018 08:00:00,NA,NO2,NA,NA,,Karnataka,"City Railway Station, Bengaluru - KSPCB"
173,Bengaluru,India,174,17-03-2018 08:00:00,NA,SO2,NA,NA,,Karnataka,"City Railway Station, Bengaluru - KSPCB"
174,Bengaluru,India,175,17-03-2018 08:00:00,84,CO,113,50,,Karnataka,"City Railway Station, Bengaluru - KSPCB"
175,Bengaluru,India,176,17-03-2018 08:00:00,129,PM2.5,500,1,,Karnataka,"Peenya, Bengaluru - CPCB"
176,Bengaluru,India,177,17-03-2018 08:00:00,10,NO2,21,4,,Karnataka,"Peenya, Bengaluru - CPCB"
177,Bengaluru,India,178,17-03-2018 08:00:00,16,NH3,20,6,,Karnataka,"Peenya, Bengaluru - CPCB"
178,Bengaluru,India,179,17-03-2018 08:00:00,11,SO2,17,4,,Karnataka,"Peenya, Bengaluru - CPCB"
